Artist,Lyrics
Metallica,"55 ContributorsFuel Lyrics[Intro]
Give me fuel, give me fire
Give me that which I desire, ooh!

[Verse 1]
Yeah
Turn on, I see red
Adrenaline crash and crack my head
Nitro junkie, paint me dead
And I see red
A hundred plus through black and white
War horse, warhead
Fuck 'em man, white-knuckle tight
Through black and white

[Chorus]
Ooh, on I burn
Fuel is pumping engines
Burning hard, loose and clean
And I burn, churning my direction
Quench my thirst with gasoline
So give me fuel, give me fire
Give me that which I desire
Hey!

[Verse 2]
Turn on beyond the bone
Swallow future, spit out home
Burn your face upon the chrome
Yeah!
Take the corner, join the crash
Headlights, headlines
Another Junkie lives too fast
Yeah lives way too fast, fast, fast, ooh
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
Ooh, on I burn
Fuel is pumping engines
Burning hard, loose and clean
And I burn, churning my direction
Quench my thirst with gasoline
So give me fuel, give me fire
Give me that which I desire, ooh, yeah-heh
White knuckle tight!

[Guitar Solo]

[Bridge]
Give me fuel (On I burn, on and on)
Give me fire (On I burn, on and on)
My desire (On I burn, on and on)

[Chorus]
Ooh, on I burn
Fuel is pumping engines
Burning hard, loose and clean
And I burn, churning my direction
Quench my thirst with gasoline
So give me fuel, give me fire
Give me that which I desire
On I burn16Embed"
Metallica,"57 Contributors...And Justice for All Lyrics[Verse 1]
Halls of justice painted green, money talking
Power wolves beset your door, hear them stalking
Soon you'll please their appetite, they devour
Hammer of justice crushes you, overpower

[Pre-Chorus]
The ultimate in vanity
Exploiting their supremacy
I can't believe the things you say
I can't believe, I can't believe the price
You pay

[Chorus]
Nothing can save you
Justice is lost, justice is raped, justice is gone
Pulling your strings, justice is done
Seeking no truth, winning is all
Find it so grim, so true, so real

[Verse 2]
Apathy their stepping stone, so unfeeling
Hidden deep animosity, so deceiving
Through your eyes their light burns, hoping to find
Inquisition sinking you with prying minds
See Metallica LiveGet tickets as low as $60You might also like[Pre-Chorus]
The ultimate in vanity
Exploiting their supremacy
I can't believe the things you say
I can't believe, I can't believe the price
You pay

[Chorus]
Nothing can save you
Justice is lost, justice is raped, justice is gone
Pulling your strings, justice is done
Seeking no truth, winning is all
Find it so grim, so true, so real

[Instrumental Break]
[Guitar Solo]

[Verse 3]
Lady justice has been raped, truth assassin
Rolls of red tape seal your lips, now you're done in
Their money tips her scales again, make your deal
Just what is truth? I cannot tell, cannot feel

[Pre-Chorus]
The ultimate in vanity
Exploiting their supremacy
I can't believe the things you say
I can't believe, I can't believe the price
We pay
[Chorus]
Nothing can save us
Justice is lost, justice is raped, justice is gone
Pulling your strings, justice is done
Seeking no truth, winning is all
Find it so grim, so true, so real

[Outro]
Seeking no truth, winning is all
Find it so grim, so true, so real27Embed"
Metallica,"81 ContributorsWelcome Home (Sanitarium) Lyrics[Verse 1]
Welcome to where time stands still
No one leaves and no one will
Moon is full, never seems to change
Just labelled mentally deranged
Dream the same thing every night
I see our freedom in my sight
No locked doors, no windows barred
No things to make my brain seem scarred
Sleep, my friend, and you will see
That dream is my reality
They keep me locked up in this cage
Can't they see it's why my brain says ""rage""?

[Chorus]
Sanitarium
Leave me be
Sanitarium
Just leave me alone

[Guitar Solo]

[Verse 2]
Build my fear of what's out there
Cannot breathe the open air
Whisper things into my brain
Assuring me that I'm insane
They think our heads are in their hands
But violent use brings violent plans
Keep him tied, it makes him well
He's getting better, can't you tell?
No more can they keep us in
Listen, damn it, we will win
They see it right, they see it well
But they think this saves us from our hell
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
Sanitarium
Leave me be
Sanitarium
Just leave me alone

[Bridge]
Sanitarium
(Just leave me alone)

[Outro]
Fear of living on
Natives getting restless now
Mutiny in the air
Got some death to do
Mirror stares back hard
Kill, it's such a friendly word
Seems the only way
For reaching out again31Embed"
Metallica,"68 ContributorsTranslationsPortuguêsNederlandsWherever I May Roam Lyrics[Instrumental Intro]

[Verse 1]
(And the road becomes my bride)
And the road becomes my bride
I have stripped of all but pride
So in her I do confide
And she keeps me satisfied
Gives me all I need
And with dust in throat I crave
Only knowledge will I save
To the game you stay a slave

[Pre-Chorus]
Rover, wanderer, nomad, vagabond
Call me what you will, yeah

[Chorus]
Oh, but I'll take my time anywhere
Free to speak my mind anywhere
And I'll redefine anywhere
Anywhere I roam
Where I lay my head is home, yeah

[Verse 2]
(And the Earth becomes my throne)
And the Earth becomes my throne
I adapt to the unknown
Under wandering stars I've grown
By myself but not alone
I ask no one
And my ties are severed clean
The less I have, the more I gain
Off the beaten path I reign
See Metallica LiveGet tickets as low as $60You might also like[Pre-Chorus]
Rover, wanderer, nomad, vagabond
Call me what you will
Yeah, you will

[Chorus]
But I'll take my time anywhere
I'm free to speak my mind anywhere
And I’ll never mind anywhere
Anywhere I roam
Where I lay my head is home, yeah-yeah

[Guitar Solo]

[Chorus]
But I'll take my time anywhere
I'm free to speak my mind
And I'll take my find anywhere
Anywhere I roam
Where I lay my head is home, that's right

[Guitar Solo]

[Chorus]
(Yeah)
But I'll take my time anywhere
I'm free to speak my mind anywhere
And I'll redefine anywhere
Anywhere I roam
Where I lay my head is home
[Post-Chorus]
Carved upon my stone
My body lies, but still I roam, yeah-yeah

[Outro]
Wherever I may roam
Wherever I may roam, roam
Wherever I may roam
Wherever I may roam, yeah
Wherever I may wander, wander, wander
Wherever I may roam
Yeah-yeah, wherever I may roam
Yeah-yeah, wherever I may roam
Wherever I may roam
Wherever I may roam
Wherever I may roam22Embed"
Metallica,"65 ContributorsBlackened Lyrics[Instrumental Intro]
[Verse 1]
Blackened is the end, winter it will send
Throwing all you see into obscurity
Death of Mother Earth, never her rebirth
Evolution's end, never will it mend
Never

[Chorus]
Fire to begin whipping dance of the dead
Blackened is the end
To begin whipping dance of the dead
Color our world blackened

[Verse 2]
Blistering of Earth, terminate its worth
Deadly nicotine kills what might have been
Callous frigid chill, nothing left to kill
Never seen before, breathing nevermore
Never

[Chorus]
Fire to begin whipping dance of the dead
Blackened is the end
To begin whipping dance of the dead
Color our world blackened
See Metallica LiveGet tickets as low as $60You might also like[Post-Chorus]
Blackened!

[Bridge]
Opposition (Opposition)
Contradiction (Contradiction)
Premonition (Premonition)
Compromise
Agitation (Agitation)
Violation (Violation)
Mutilation (Mutilation)
Planet dies
Darkest color, blistered Earth
True death of life
Termination (Termination) Termination
(Expiration) Expiration
(Cancellation) Cancellation human race
(Expectation) Expectation
(Liberation) Liberation
(Population) Population laid to waste
See our mother put to death (Death)
See our mother die

[Guitar Solo]

[Verse 3]
Smoldering decay, take her breath away
Millions of our years in minutes disappears
Darkening in vain, decadence remains
All is said and done, never is the sun
Never
[Chorus]
Fire to begin whipping dance of the dead
Blackened is the end
To begin whipping dance of the dead
Fire is the outcome of hypocrisy
Darkest potency
In the exit of humanity
Color our world blackened
Blackened20Embed"
Metallica,"57 ContributorsTranslationsEspañolBattery Lyrics[Verse 1]
Lashing out the action, returning the reaction
Weak are ripped and torn away
Hypnotizing power, crushing all that cower
Battery is here to stay

[Chorus]
Smashing through the boundaries, lunacy has found me
Cannot stop the battery
Pounding out aggression, turns into obsession
Cannot kill the battery
Cannot kill the family, battery is found in me
Battery, battery

[Verse 2]
Crushing all deceivers, mashing non-believers
Never-ending potency
Hungry violence-seeker, feeding off the weaker
Breeding on insanity

[Chorus]
Smashing through the boundaries, lunacy has found me
Cannot stop the battery
Pounding out aggression, turns into obsession
Cannot kill the battery
Cannot kill the family, battery is found in me
Battery, battery
See Metallica LiveGet tickets as low as $60You might also like[Guitar Solo]

[Verse 3]
Circle of destruction, hammer comes crushing
Powerhouse of energy
Whipping up a fury, dominating flurry
We create the battery

[Chorus]
Smashing through the boundaries, lunacy has found me
Cannot stop the battery
Pounding out aggression, turns into obsession
Cannot kill the battery
Cannot kill the family, battery is found in me
Battery, battery
Battery, battery28Embed"
Metallica,"46 ContributorsThe Unforgiven II Lyrics[Verse 1]
Lay beside me and tell me what they've done
And speak the words I wanna hear, to make my demons run
The door is locked now, but it's open if you're true
If you can understand the me, then I can understand the you
Lay beside me, under wicked sky
Through black of day, dark of night, we share this paralyze
The door cracks open, but there's no sun shining through
Black heart scarring darker still, but there's no sun shining through
No, there's no sun shining through
No, there's no sun shining

[Chorus]
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you? Yeah
What I've felt, what I've known
Sick and tired, I stand alone
Could you be there? 'Cause I'm the one who waits for you
Or are you unforgiven too?

[Verse 2]
Come lay beside me, this won't hurt, I swear
She loves me not, she loves me still, but she'll never love again
She lay beside me, but she'll be there when I'm gone
Black heart scarring darker still, yes she'll be there when I'm gone
Yes, she'll be there when I'm gone
Dead sure she'll be there...
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you? Yeah
What I've felt, what I've known
Sick and tired, I stand alone
Could you be there? 'Cause I'm the one who waits for you
Or are you unforgiven too?

[Guitar Solo]

[Verse 3]
Lay beside me, tell me what I've done
The door is closed, so are your eyes
But now I see the sun, now I see the sun
Yes, now I see it

[Chorus]
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you? Yeah
What I've felt, what I've known
So sick and tired, I stand alone
Could you be there? 'Cause I'm the one who waits
The one who waits for you, oh
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you? (So I dub thee Unforgiven)
What I've felt
Oh, what I've known
I take this key (Never free), and I bury it (Never me) in you
Because you're unforgiven too
[Outro]
Never free, never me
Because you're unforgiven too
Oh, oh, oh24Embed"
Metallica,"66 ContributorsTranslationsDeutschThe Four Horsemen Lyrics[Verse 1]
By the last breath of the fourth winds blow
Better raise your ears
The sound of hooves knock at your door
Lock up your wife and children now
It's time to wield the blade
For now you've got some company
[Chorus]
The horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the four horsemen ride
Or choose your fate and die
Aw yeah, yeah

[Verse 2]
You've been dying since the day you were born
You know it's all been planned
The quartet of deliverance rides
A sinner once a sinner twice
No need for confession now
'Cause now you've got the fight of your life

[Chorus]
The horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the four horsemen ride
Or choose your fate and die
Aw yeah, yeah
See Metallica LiveGet tickets as low as $60You might also like[Instrumental Break]

[Bridge]
Time! Has taken its toll on you
The lines that crack your face
Famine! Your body, it has torn through
Withered in every place
Pestilence! For what you've had to endure
And what you have put others through
Death! Deliverance for you for sure
Now there's nothing you can do

[Instrumental Break/Guitar Solo]

[Verse 3]
So gather round, young warriors, now
And saddle up your steeds
Killing scores with demon swords
Now's the death of doers of wrong
Swing the judgment hammer down
Safely inside armor, blood, guts and sweat
[Chorus]
The horsemen are drawing nearer
On leather steeds they ride
They've come to take your life
On through the dead of night
With the four horsemen ride
Or choose your fate and die
Aw yeah, yeah
[Instrumental Outro/Guitar Solo]15Embed"
Metallica,"65 ContributorsWhiplash Lyrics[Verse 1]
Late at night, all systems go, you've come to see the show
We do our best, you're the rest, you make it real, you know
There's a feeling deep inside that drives you fuckin' mad
A feeling of a hammerhead, you need it, oh, so bad

[Chorus]
Adrenaline starts to flow
You're thrashing all around
Acting like a maniac
Whiplash

[Verse 2]
Bang your head against the stage like you never did before
Make it ring, make it bleed, make it really sore
In a frenzied madness with your leathers and your spikes
Heads are bobbing all around, it's hot as hell tonight

[Chorus]
Adrenaline starts to flow
You're thrashing all around
Acting like a maniac
Whiplash
[Verse 3]
Here on stage, the Marshall noise is piercing through your ears
It kicks your ass, kicks your face, exploding feeling nears
Now's the time to let it rip, to let it fuckin' loose
We're gathered here to maim and kill
'Cause this is what we choose
See Metallica LiveGet tickets as low as $60You might also like[Chorus]
Adrenaline starts to flow
You're thrashing all around
Acting like a maniac

[Instrumental Break]
Here we go
[Guitar Solo]
Whiplash
[Guitar Solo]

[Verse 4]
The show is through, the metal's gone, it's time to hit the road
Another town, another gig, again, we will explode
Hotel rooms and motorways, life out here is raw
But we'll never stop, we'll never quit, 'cause we're Metallica

[Chorus]
Adrenaline starts to flow
You're thrashing all around
Acting like a maniac

[Outro]
Whoa, whoa16Embed"
Metallica,"36 ContributorsWhiskey in the Jar Lyrics[Verse 1]
As I was goin' over the Cork and Kerry mountains
I saw Captain Farrell, and his money he was countin'
I first produced my pistol and then produced my rapier
I said, “Stand and deliver, or the devil, he may take you,” yeah
I took all of his money, and it was a pretty penny
I took all of his money, yeah, and I brought it home to Molly
She swore that she loved me, no, never would she leave me
But the devil take that woman, yeah, for you know she tricked me easy

[Chorus]
Musha ring dum a doo dum a da
Whack for my daddy-o
Whack for my daddy-o
There's whiskey in the jar-o

[Verse 2]
Bein' drunk and weary, I went to Molly's chamber
Takin' money with me, but I never knew the danger
For about six or maybe seven, yeah, in walked Captain Farrell
I jumped up, fired off my pistols, and I shot him with both barrels, yeah

[Chorus]
Musha ring dum a doo dum a da
Whack for my daddy-o
Whack for my daddy-o
There's whiskey in the jar-o
Yeah-heh, whiskey in the jar-o
[Guitar solo]

Ohh yeah yeah, whoa-yo
Yeah, oh yeah

[Verse 3]
Now some men like the fishin', and some men like the fowlin'
And some men like to hear, to hear the cannonball a-roarin'
Me? I like sleepin', especially in Molly's chamber
But here I am in prison, here I am with a ball and chain, yeah

[Chorus]
Musha ring dum a doo dum a da, yeah, yeah
Whack for my daddy-o
Whack for my daddy-o
There’s whiskey in the jar-o, yeah
Whiskey in the jar-o, yeah

[Outro]
Musha ring dum a doo dum a da
Musha ring dum a doo dum a da
Hey, musha ring dum a doo dum a da
Musha ring dum a doo dum a da, yeahSee Metallica LiveGet tickets as low as $60You might also like9Embed"
Metallica,"50 ContributorsDyers Eve Lyrics[Verse 1]
Dear mother, dear father
What is this hell you have put me through?
Believer, deceiver
Day in, day out, lived my life through you
Pushed onto me what's wrong or right
Hidden from this thing that they call life

[Verse 2]
Dear mother, dear father
Every thought I'd think you'd disapprove
Curator, dictator
Always censoring my every move
Children are seen but are not heard
Tear out everything inspired

[Refrain]
Innocence, torn from me without your shelter
Barred reality, I'm living blindly

[Verse 3]
Dear mother, dear father
Time has frozen still, what's left to be?
Hear nothing, say nothing
Cannot face the fact I think for me
No guarantee it's life as is
But damn you for not giving me my chance
See Metallica LiveGet tickets as low as $60You might also like[Verse 4]
Dear mother, dear father
You clipped my wings before I learned to fly
Unspoiled, unspoken
I've outgrown that fucking lullaby
Same thing I've always heard from you
Do as I say, not as I do

[Refrain]
Innocence, torn from me without your shelter
Barred reality, I'm living blindly
[Instrumental Break]
[Guitar Solo]

[Bridge]
I'm in hell without you
Cannot cope without you two
Shocked at the world that I see
Innocent victim, please rescue me

[Verse 5]
Dear mother, dear father
Hidden in your world you've made for me
I'm seething, I'm bleeding
Ripping wounds in me that never heal
Undying spite I feel for you
Living out this hell you always knew
[Outro]
No!16Embed"
